Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,,,,
,No Aplica :,   24 601,,
,,,,
,AREA # 1509,"Lima, provincia: Oyón",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   2 659,"57,70%","57,70%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 486,"32,25%","89,95%"
,Pilón o pileta de uso público,    54,"1,17%","91,12%"
,Pozo (agua subterránea),    166,"3,60%","94,73%"
,Manantial o puquio,    59,"1,28%","96,01%"
,"Río, acequia, lago, laguna",    165,"3,58%","99,59%"
,Otro,    3,"0,07%","99,65%"
,Vecino,    16,"0,35%","100,00%"
,Total,   4 608,"100,00%","100,00%"
,,,,
,No Aplica :,   3 318,,
,,,,
,AREA # 1510,"Lima, provincia: Yauyos",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   4 299,"63,96%","63,96%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    404,"6,01%","69,97%"
,Pilón o pileta de uso público,    119,"1,77%","71,75%"
,Camión - cisterna u otro similar,    2,"0,03%","71,78%"
,Pozo (agua subterránea),    557,"8,29%","80,06%"
,Manantial o puquio,    445,"6,62%","86,68%"
,"Río, acequia, lago, laguna",    834,"12,41%","99,09%"
,Otro,    4,"0,06%","99,15%"
,Vecino,    57,"0,85%","100,00%"
,Total,   6 721,"100,00%","100,00%"
,,,,
,No Aplica :,   8 304,,
,,,,
,AREA # 1601,"Loreto, provincia: Maynas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   64 783,"63,63%","63,63%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   4 677,"4,59%","68,23%"
,Pilón o pileta de uso público,   4 322,"4,25%","72,47%"
,Camión - cisterna u otro similar,   4 400,"4,32%","76,79%"
,Pozo (agua subterránea),   9 321,"9,16%","85,95%"
,Manantial o puquio,    99,"0,10%","86,05%"
,"Río, acequia, lago, laguna",   11 442,"11,24%","97,29%"
,Otro,   1 760,"1,73%","99,01%"
,Vecino,   1 003,"0,99%","100,00%"
,Total,   101 807,"100,00%","100,00%"
,,,,
,No Aplica :,   17 336,,
,,,,
,AREA # 1602,"Loreto, provincia: Alto Amazonas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   13 116,"46,90%","46,90%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    849,"3,04%","49,93%"
,Pilón o pileta de uso público,    331,"1,18%","51,12%"
,Camión - cisterna u otro similar,    191,"0,68%","51,80%"
,Pozo (agua subterránea),   7 725,"27,62%","79,42%"
,Manantial o puquio,    148,"0,53%","79,95%"
